airline_name,arrivalAirportKey,weekNr,countOfFlights
Ryanair,Palma,16,206
Ryanair,Palma,26,648
Ryanair,Palma,21,576
Ryanair,Palma,24,576
Ryanair,Palma,19,544
Ryanair,Palma,23,576
Ryanair,Palma,27,720
Ryanair,Palma,33,720
Ryanair,Palma,35,576
Ryanair,Palma,30,720
Ryanair,Palma,31,720
Ryanair,Palma,39,576
Ryanair,Palma,29,720
Ryanair,Palma,38,574
Ryanair,Palma,28,720
Ryanair,Palma,25,576
Ryanair,Palma,32,720
Ryanair,Palma,34,720
Ryanair,Palma,17,248
Ryanair,Palma,15,98
Ryanair,Rhodos,18,156
Ryanair,Rhodos,36,216
Ryanair,Rhodos,34,216
Ryanair,Rhodos,35,216
Ryanair,Rhodos,29,216
Ryanair,Rhodos,33,216
Ryanair,Rhodos,24,216
Ryanair,Rhodos,19,204
Ryanair,Rhodos,28,216
Ryanair,Rhodos,39,216
Ryanair,Rhodos,32,216
Ryanair,Rhodos,30,216
Ryanair,Rhodos,31,216
Ryanair,Rhodos,22,216
Ryanair,Rhodos,25,216
Ryanair,Rhodos,20,216
Ryanair,Rhodos,37,216
Ryanair,Rhodos,17,114
Ryanair,Rhodos,21,216
Ryanair,Rhodos,38,216
Ryanair,Rhodos,27,216
Ryanair,Rhodos,26,216
Ryanair,Rhodos,23,216
Ryanair,Rhodos,15,36
Ryanair,Rhodos,16,78
Ryanair,Ibiza,25,288
Ryanair,Ibiza,27,288
Ryanair,Ibiza,19,280
Ryanair,Ibiza,31,288
Ryanair,Ibiza,26,288
Ryanair,Ibiza,20,288
Ryanair,Ibiza,35,288
Ryanair,Ibiza,33,288
Ryanair,Ibiza,28,288
Ryanair,Ibiza,29,288
Ryanair,Ibiza,38,288
Ryanair,Ibiza,37,288
Ryanair,Ibiza,30,288
Ryanair,Ibiza,34,288
Ryanair,Ibiza,36,288
Ryanair,Ibiza,32,288
Ryanair,Ibiza,17,66
Ryanair,Ibiza,16,110
Ryanair,Ibiza,18,224
Ryanair,Ibiza,24,288
Ryanair,Ibiza,21,288
Ryanair,Ibiza,39,288
Ryanair,Ibiza,15,52
Ryanair,Ibiza,23,288
Ryanair,Ibiza,22,288
Ryanair,Palermo,31,360
Ryanair,Palermo,21,360
Ryanair,Palermo,23,360
Ryanair,Palermo,26,360
Ryanair,Palermo,32,360
Ryanair,Palermo,39,360
Ryanair,Palermo,20,342
Ryanair,Palermo,22,360
Ryanair,Palermo,24,360
Ryanair,Palermo,34,360
Ryanair,Palermo,19,338
Ryanair,Palermo,37,360
Ryanair,Palermo,27,360
Ryanair,Palermo,38,360
Ryanair,Palermo,25,360
Ryanair,Palermo,35,360
Ryanair,Palermo,36,360
Ryanair,Palermo,30,360
Ryanair,Palermo,28,360
Ryanair,Palermo,17,168
Ryanair,Palermo,18,274
Ryanair,Palermo,33,360
Ryanair,Palermo,29,360
Ryanair,Palermo,16,134
Ryanair,Palermo,15,48
Ryanair,Palermo,14,2
Ryanair,Tenerife,16,108
Ryanair,Tenerife,35,288
Ryanair,Tenerife,31,288
Ryanair,Tenerife,25,286
Ryanair,Tenerife,20,288
Ryanair,Tenerife,26,286
Ryanair,Tenerife,36,288
Ryanair,Tenerife,19,280
Ryanair,Tenerife,30,288
Ryanair,Tenerife,28,288
Ryanair,Tenerife,24,286
Ryanair,Tenerife,23,282
Ryanair,Tenerife,18,222
Ryanair,Tenerife,37,288
Ryanair,Tenerife,34,288
Ryanair,Tenerife,29,288
