airline_name,arrival_airport_iata_code,weekNr,countOfFlights
Ryanair,16,15,36
Ryanair,16,16,78
Ryanair,10,25,288
Ryanair,10,27,288
Ryanair,10,19,280
Ryanair,10,31,288
Ryanair,10,26,288
Ryanair,10,20,288
Ryanair,10,35,288
Ryanair,10,33,288
Ryanair,10,28,288
Ryanair,10,29,288
Ryanair,10,38,288
Ryanair,10,37,288
Ryanair,10,30,288
Ryanair,10,34,288
Ryanair,10,36,288
Ryanair,10,32,288
Ryanair,10,17,66
Ryanair,10,16,110
Ryanair,10,18,224
Ryanair,10,24,288
Ryanair,10,21,288
Ryanair,10,39,288
Ryanair,10,15,52
Ryanair,10,23,288
Ryanair,10,22,288
Ryanair,15,31,360
Ryanair,15,21,360
Ryanair,15,23,360
Ryanair,15,26,360
Ryanair,15,32,360
Ryanair,15,39,360
Ryanair,15,20,342
Ryanair,15,22,360
Ryanair,15,24,360
Ryanair,15,34,360
Ryanair,15,19,338
Ryanair,15,37,360
Ryanair,15,27,360
Ryanair,15,38,360
Ryanair,15,25,360
Ryanair,15,35,360
Ryanair,15,36,360
Ryanair,15,30,360
Ryanair,15,28,360
Ryanair,15,17,168
Ryanair,15,18,274
Ryanair,15,33,360
Ryanair,15,29,360
Ryanair,15,16,134
Ryanair,15,15,48
Ryanair,15,14,2
Ryanair,17,16,108
Ryanair,17,35,288
Ryanair,17,31,288
Ryanair,17,25,286
Ryanair,17,20,288
Ryanair,17,26,286
Ryanair,17,36,288
Ryanair,17,19,280
Ryanair,17,30,288
Ryanair,17,28,288
Ryanair,17,24,286
Ryanair,17,23,282
Ryanair,17,18,222
Ryanair,17,37,288
Ryanair,17,34,288
Ryanair,17,29,288
Ryanair,17,39,288
Ryanair,17,22,284
Ryanair,17,32,288
Ryanair,17,21,288
Ryanair,17,38,286
Ryanair,17,27,288
Ryanair,17,17,136
Ryanair,17,15,60
Ryanair,17,33,288
Ryanair,17,14,2
Transavia,8,20,288
Transavia,8,19,274
Transavia,8,35,360
Transavia,8,27,432
Transavia,8,25,288
Transavia,8,26,360
Transavia,8,24,288
Transavia,8,21,288
Transavia,8,38,360
Transavia,8,39,328
Transavia,8,31,432
Transavia,8,37,360
Transavia,8,34,432
Transavia,8,28,374
Transavia,8,41,50
Transavia,8,36,360
Transavia,8,32,432
Transavia,8,30,432
Transavia,8,33,432
Transavia,8,17,156
Transavia,8,43,48
Transavia,8,22,288
Transavia,8,29,432
Transavia,8,44,48
Transavia,8,18,220
Transavia,8,23,288
Transavia,8,16,108
Transavia,8,40,66
Transavia,8,15,58
Transavia,8,42,50
Transavia,8,14,6
Transavia,1,30,434
Transavia,1,27,436
Transavia,1,26,208
Transavia,1,32,436
Transavia,1,28,436
Transavia,1,29,436
Transavia,1,36,364
Transavia,1,34,436
Transavia,1,35,362
Transavia,1,37,364
Transavia,1,33,436
Transavia,1,38,364
Transavia,1,39,330
Transavia,1,31,436
Transavia,1,40,68
Transavia,1,42,40
Transavia,1,43,30
Transavia,1,41,46
Transavia,1,44,26
Transavia,10,26,272
Transavia,10,16,94
Transavia,10,24,272
Transavia,10,19,260
Transavia,10,20,272
Transavia,10,17,134
Transavia,10,25,272
Transavia,10,36,288
Transavia,10,29,272
Transavia,10,31,272
Transavia,10,37,288
Transavia,10,34,288
Transavia,10,30,272
Transavia,10,39,288
Transavia,10,18,206
Transavia,10,23,272
Transavia,10,21,272
Transavia,10,33,288
Transavia,10,40,38
Transavia,10,28,272
Transavia,10,38,288
Transavia,10,27,272
Transavia,10,22,272
Transavia,10,32,272
Transavia,10,41,8
Transavia,10,35,288
Transavia,10,43,8
Transavia,10,15,38
Transavia,10,44,4
Transavia,10,42,8
Transavia,9,27,204
Transavia,9,23,144
Transavia,9,20,144
Transavia,9,35,144
Transavia,9,24,144
Transavia,9,31,204
Transavia,9,28,204
Transavia,9,34,204
Transavia,9,30,204
Transavia,9,32,204
Transavia,9,38,144
Transavia,9,19,138
Transavia,9,36,144
Transavia,9,18,112
Transavia,9,33,204
Transavia,9,26,204
Transavia,9,37,144
Transavia,9,22,144
Transavia,9,21,144
Transavia,9,29,204
Transavia,9,39,138
Transavia,9,15,26
