Departure,Destination,Date,Departure time,Arrival time,Flightnumber,Duration,Price
Brussels,Corfu,12/07/2023,None,None,None,None,None
Brussels,Corfu,13/07/2023,None,None,None,None,None
Brussels,Corfu,14/07/2023,None,None,None,None,None
Brussels,Corfu,15/07/2023,None,None,None,None,None
Brussels,Corfu,16/07/2023,None,None,None,None,None
Brussels,Corfu,17/07/2023,None,None,None,None,None
Brussels,Corfu,18/07/2023,None,None,None,None,None
Brussels,Corfu,19/07/2023,None,None,None,None,None
Brussels,Corfu,20/07/2023,None,None,None,None,None
Brussels,Corfu,21/07/2023,None,None,None,None,None
Brussels,Corfu,22/07/2023,None,None,None,None,None
Brussels,Corfu,23/07/2023,None,None,None,None,None
Brussels,Corfu,24/07/2023,None,None,None,None,None
Brussels,Corfu,25/07/2023,None,None,None,None,None
Brussels,Corfu,26/07/2023,None,None,None,None,None
Brussels,Corfu,27/07/2023,None,None,None,None,None
Brussels,Corfu,28/07/2023,None,None,None,None,None
Brussels,Corfu,29/07/2023,None,None,None,None,None
Brussels,Corfu,30/07/2023,None,None,None,None,None
Brussels,Corfu,31/07/2023,None,None,None,None,None
Brussels,Corfu,01/08/2023,None,None,None,None,None
Brussels,Corfu,02/08/2023,None,None,None,None,None
Brussels,Corfu,03/08/2023,None,None,None,None,None
Brussels,Corfu,04/08/2023,None,None,None,None,None
Brussels,Corfu,05/08/2023,None,None,None,None,None
Brussels,Corfu,06/08/2023,None,None,None,None,None
Brussels,Corfu,07/08/2023,None,None,None,None,None
Brussels,Corfu,08/08/2023,None,None,None,None,None
Brussels,Corfu,09/08/2023,None,None,None,None,None
Brussels,Corfu,10/08/2023,None,None,None,None,None
Brussels,Corfu,11/08/2023,None,None,None,None,None
Brussels,Corfu,12/08/2023,None,None,None,None,None
Brussels,Corfu,13/08/2023,None,None,None,None,None
Brussels,Corfu,14/08/2023,None,None,None,None,None
Brussels,Corfu,15/08/2023,None,None,None,None,None
Brussels,Corfu,16/08/2023,None,None,None,None,None
Brussels,Corfu,17/08/2023,None,None,None,None,None
Brussels,Corfu,18/08/2023,None,None,None,None,None
Brussels,Corfu,19/08/2023,None,None,None,None,None
Brussels,Corfu,20/08/2023,None,None,None,None,None
Brussels,Corfu,21/08/2023,None,None,None,None,None
Brussels,Corfu,22/08/2023,None,None,None,None,None
Brussels,Corfu,23/08/2023,None,None,None,None,None
Brussels,Corfu,24/08/2023,None,None,None,None,None
Brussels,Corfu,25/08/2023,None,None,None,None,None
Brussels,Corfu,26/08/2023,None,None,None,None,None
Brussels,Corfu,27/08/2023,None,None,None,None,None
Brussels,Corfu,28/08/2023,None,None,None,None,None
Brussels,Corfu,29/08/2023,None,None,None,None,None
Brussels,Corfu,30/08/2023,None,None,None,None,None
Brussels,Corfu,31/08/2023,None,None,None,None,None
Brussels,Corfu,01/09/2023,None,None,None,None,None
Brussels,Corfu,02/09/2023,None,None,None,None,None
Brussels,Corfu,03/09/2023,None,None,None,None,None
Brussels,Corfu,04/09/2023,None,None,None,None,None
Brussels,Corfu,05/09/2023,None,None,None,None,None
Brussels,Corfu,06/09/2023,None,None,None,None,None
Brussels,Corfu,07/09/2023,None,None,None,None,None
Brussels,Corfu,08/09/2023,None,None,None,None,None
Brussels,Corfu,09/09/2023,None,None,None,None,None
Brussels,Corfu,10/09/2023,None,None,None,None,None
Brussels,Corfu,11/09/2023,None,None,None,None,None
Brussels,Corfu,12/09/2023,None,None,None,None,None
Brussels,Corfu,13/09/2023,None,None,None,None,None
Brussels,Corfu,14/09/2023,None,None,None,None,None
Brussels,Corfu,15/09/2023,None,None,None,None,None
Brussels,Corfu,16/09/2023,None,None,None,None,None
Brussels,Corfu,17/09/2023,None,None,None,None,None
Brussels,Corfu,18/09/2023,None,None,None,None,None
Brussels,Corfu,19/09/2023,None,None,None,None,None
Brussels,Corfu,20/09/2023,None,None,None,None,None
Brussels,Corfu,21/09/2023,None,None,None,None,None
Brussels,Corfu,22/09/2023,None,None,None,None,None
Brussels,Corfu,23/09/2023,None,None,None,None,None
Brussels,Corfu,24/09/2023,None,None,None,None,None
Brussels,Corfu,25/09/2023,None,None,None,None,None
Brussels,Corfu,26/09/2023,None,None,None,None,None
Brussels,Corfu,27/09/2023,None,None,None,None,None
Brussels,Corfu,28/09/2023,None,None,None,None,None
Brussels,Corfu,29/09/2023,None,None,None,None,None
Brussels,Corfu,30/09/2023,None,None,None,None,None
Brussels,Kreta,01/04/2023,06:35,11:00,HV9209,265,329.0
Brussels,Kreta,02/04/2023,None,None,None,None,None
Brussels,Kreta,03/04/2023,None,None,None,None,None
Brussels,Kreta,04/04/2023,07:10,11:35,HV9211,265,225.0
Brussels,Kreta,05/04/2023,None,None,None,None,None
Brussels,Kreta,06/04/2023,None,None,None,None,None
Brussels,Kreta,07/04/2023,None,None,None,None,None
Brussels,Kreta,08/04/2023,06:35,11:00,HV9209,265,175.0
Brussels,Kreta,09/04/2023,None,None,None,None,None
Brussels,Kreta,10/04/2023,None,None,None,None,None
Brussels,Kreta,11/04/2023,07:10,11:35,HV9211,265,146.0
Brussels,Kreta,12/04/2023,None,None,None,None,None
Brussels,Kreta,13/04/2023,None,None,None,None,None
Brussels,Kreta,14/04/2023,None,None,None,None,None
Brussels,Kreta,15/04/2023,06:35,11:00,HV9209,265,161.0
Brussels,Kreta,16/04/2023,None,None,None,None,None
Brussels,Kreta,17/04/2023,None,None,None,None,None
Brussels,Kreta,18/04/2023,07:10,11:35,HV9211,265,161.0
Brussels,Kreta,19/04/2023,None,None,None,None,None
Brussels,Kreta,20/04/2023,None,None,None,None,None
Brussels,Kreta,21/04/2023,None,None,None,None,None
