Luchthaven,Bestemming,Datum,Vertrektijdstip,Aankomsttijdstip,prijs,duur,aantalStops,vrijePlaatsen,VluchtNr,Flightkey
Brussels (Charleroi),Ibiza,2023-05-14,07:30:00.000,09:55:00.000,95.41,02:25,0,1,FR 6456,FR~6456~ ~~CRL~05/14/2023 07:30~IBZ~05/14/2023 09:55~~
Brussels,Malaga,2023-05-14,09:55:00.000,12:50:00.000,122.64,02:55,0,-1,FR 2923,FR~2923~ ~~BRU~05/14/2023 09:55~AGP~05/14/2023 12:50~~
Brussels (Charleroi),Malaga,2023-05-14,21:30:00.000,00:15:00.000,76.39,02:45,0,3,FR 1916,FR~1916~ ~~CRL~05/14/2023 21:30~AGP~05/15/2023 00:15~~
Brussels (Charleroi),Tenerife (South),2023-05-14,12:35:00.000,16:10:00.000,176.8,04:35,0,4,FR 563,FR~ 563~ ~~CRL~05/14/2023 12:35~TFS~05/14/2023 16:10~~
Brussels (Charleroi),Rhodes,2023-05-15,12:00:00.000,16:35:00.000,151.29,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~05/15/2023 12:00~RHO~05/15/2023 16:35~~
Brussels (Charleroi),Brindisi,2023-05-15,20:55:00.000,23:20:00.000,34.54,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~05/15/2023 20:55~BDS~05/15/2023 23:20~~
Brussels (Charleroi),Naples,2023-05-15,06:30:00.000,08:45:00.000,63.31,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/15/2023 06:30~NAP~05/15/2023 08:45~~
Brussels (Charleroi),Naples,2023-05-15,09:30:00.000,11:45:00.000,82.85,02:15,0,-1,FR 1310,FR~1310~ ~~CRL~05/15/2023 09:30~NAP~05/15/2023 11:45~~
Brussels (Charleroi),Palermo,2023-05-15,12:05:00.000,14:35:00.000,98.99,02:30,0,4,FR 6269,FR~6269~ ~~CRL~05/15/2023 12:05~PMO~05/15/2023 14:35~~
Brussels (Charleroi),Faro,2023-05-15,18:00:00.000,19:55:00.000,88.74,02:55,0,4,FR 2941,FR~2941~ ~~CRL~05/15/2023 18:00~FAO~05/15/2023 19:55~~
Brussels (Charleroi),Alicante,2023-05-15,16:55:00.000,19:20:00.000,130.59,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/15/2023 16:55~ALC~05/15/2023 19:20~~
Brussels,Malaga,2023-05-15,17:40:00.000,20:30:00.000,94.17,02:50,0,1,FR 2923,FR~2923~ ~~BRU~05/15/2023 17:40~AGP~05/15/2023 20:30~~
Brussels (Charleroi),Malaga,2023-05-15,19:20:00.000,22:05:00.000,84.59,02:45,0,5,FR 1916,FR~1916~ ~~CRL~05/15/2023 19:20~AGP~05/15/2023 22:05~~
Brussels (Charleroi),Heraklion Crete,2023-05-16,07:20:00.000,11:45:00.000,157.97,03:25,0,-1,FR 7986,FR~7986~ ~~CRL~05/16/2023 07:20~HER~05/16/2023 11:45~~
Brussels (Charleroi),Brindisi,2023-05-16,17:20:00.000,19:45:00.000,91.05,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~05/16/2023 17:20~BDS~05/16/2023 19:45~~
Brussels (Charleroi),Naples,2023-05-16,19:20:00.000,21:35:00.000,91.88,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/16/2023 19:20~NAP~05/16/2023 21:35~~
Brussels (Charleroi),Palermo,2023-05-16,15:35:00.000,18:05:00.000,81.99,02:30,0,3,FR 6269,FR~6269~ ~~CRL~05/16/2023 15:35~PMO~05/16/2023 18:05~~
Brussels (Charleroi),Faro,2023-05-16,13:45:00.000,15:40:00.000,62.39,02:55,0,5,FR 2941,FR~2941~ ~~CRL~05/16/2023 13:45~FAO~05/16/2023 15:40~~
Brussels (Charleroi),Faro,2023-05-16,16:45:00.000,18:40:00.000,53.99,02:55,0,1,FR 6312,FR~6312~ ~~CRL~05/16/2023 16:45~FAO~05/16/2023 18:40~~
Brussels (Charleroi),Alicante,2023-05-16,06:30:00.000,08:55:00.000,97.79,02:25,0,3,FR 3534,FR~3534~ ~~CRL~05/16/2023 06:30~ALC~05/16/2023 08:55~~
Brussels (Charleroi),Alicante,2023-05-16,12:15:00.000,14:40:00.000,154.09,02:25,0,2,FR 9053,FR~9053~ ~~CRL~05/16/2023 12:15~ALC~05/16/2023 14:40~~
Brussels (Charleroi),Ibiza,2023-05-16,09:25:00.000,11:50:00.000,149.01,02:25,0,2,FR 6456,FR~6456~ ~~CRL~05/16/2023 09:25~IBZ~05/16/2023 11:50~~
Brussels (Charleroi),Malaga,2023-05-16,16:00:00.000,18:45:00.000,111.74,02:45,0,5,FR 1916,FR~1916~ ~~CRL~05/16/2023 16:00~AGP~05/16/2023 18:45~~
Brussels (Charleroi),Tenerife (South),2023-05-16,07:15:00.000,10:50:00.000,137.47,04:35,0,3,FR 563,FR~ 563~ ~~CRL~05/16/2023 07:15~TFS~05/16/2023 10:50~~
Brussels (Charleroi),Rhodes,2023-05-17,13:10:00.000,17:45:00.000,168.58,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~05/17/2023 13:10~RHO~05/17/2023 17:45~~
Brussels (Charleroi),Naples,2023-05-17,16:35:00.000,18:50:00.000,174.59,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/17/2023 16:35~NAP~05/17/2023 18:50~~
Brussels (Charleroi),Palermo,2023-05-17,09:25:00.000,11:55:00.000,123.99,02:30,0,2,FR 6269,FR~6269~ ~~CRL~05/17/2023 09:25~PMO~05/17/2023 11:55~~
Brussels (Charleroi),Faro,2023-05-17,12:25:00.000,14:20:00.000,134.12,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/17/2023 12:25~FAO~05/17/2023 14:20~~
Brussels (Charleroi),Faro,2023-05-17,16:20:00.000,18:15:00.000,154.09,02:55,0,-1,FR 6312,FR~6312~ ~~CRL~05/17/2023 16:20~FAO~05/17/2023 18:15~~
Brussels (Charleroi),Alicante,2023-05-17,10:00:00.000,12:25:00.000,228.49,02:25,0,5,FR 3534,FR~3534~ ~~CRL~05/17/2023 10:00~ALC~05/17/2023 12:25~~
Brussels (Charleroi),Alicante,2023-05-17,14:45:00.000,17:10:00.000,177.79,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~05/17/2023 14:45~ALC~05/17/2023 17:10~~
Brussels (Charleroi),Alicante,2023-05-17,21:55:00.000,00:20:00.000,167.99,02:25,0,-1,FR 6063,FR~6063~ ~~CRL~05/17/2023 21:55~ALC~05/18/2023 00:20~~
Brussels,Malaga,2023-05-17,10:05:00.000,13:00:00.000,282.55,02:55,0,1,FR 2923,FR~2923~ ~~BRU~05/17/2023 10:05~AGP~05/17/2023 13:00~~
Brussels (Charleroi),Malaga,2023-05-17,06:45:00.000,09:30:00.000,171.49,02:45,0,3,FR 1916,FR~1916~ ~~CRL~05/17/2023 06:45~AGP~05/17/2023 09:30~~
Brussels (Charleroi),Naples,2023-05-18,06:25:00.000,08:40:00.000,201.68,02:15,0,1,FR 1302,FR~1302~ ~~CRL~05/18/2023 06:25~NAP~05/18/2023 08:40~~
Brussels (Charleroi),Faro,2023-05-18,11:25:00.000,13:20:00.000,145.87,02:55,0,5,FR 2941,FR~2941~ ~~CRL~05/18/2023 11:25~FAO~05/18/2023 13:20~~
Brussels (Charleroi),Alicante,2023-05-18,09:00:00.000,11:25:00.000,155.39,02:25,0,2,FR 9053,FR~9053~ ~~CRL~05/18/2023 09:00~ALC~05/18/2023 11:25~~
Brussels (Charleroi),Alicante,2023-05-18,15:05:00.000,17:30:00.000,178.49,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/18/2023 15:05~ALC~05/18/2023 17:30~~
Brussels (Charleroi),Ibiza,2023-05-18,10:20:00.000,12:45:00.000,320.37,02:25,0,-1,FR 6456,FR~6456~ ~~CRL~05/18/2023 10:20~IBZ~05/18/2023 12:45~~
Brussels (Charleroi),Malaga,2023-05-18,17:30:00.000,20:15:00.000,134.12,02:45,0,3,FR 1916,FR~1916~ ~~CRL~05/18/2023 17:30~AGP~05/18/2023 20:15~~
Brussels (Charleroi),Tenerife (South),2023-05-18,20:00:00.000,23:35:00.000,121.15,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~05/18/2023 20:00~TFS~05/18/2023 23:35~~
Brussels (Charleroi),Rhodes,2023-05-19,07:55:00.000,12:30:00.000,122.72,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~05/19/2023 07:55~RHO~05/19/2023 12:30~~
Brussels (Charleroi),Brindisi,2023-05-19,07:00:00.000,09:25:00.000,92.43,02:25,0,3,FR 7737,FR~7737~ ~~CRL~05/19/2023 07:00~BDS~05/19/2023 09:25~~
Brussels (Charleroi),Naples,2023-05-19,09:10:00.000,11:25:00.000,172.8,02:15,0,2,FR 1302,FR~1302~ ~~CRL~05/19/2023 09:10~NAP~05/19/2023 11:25~~
Brussels (Charleroi),Naples,2023-05-19,20:00:00.000,22:15:00.000,72.53,02:15,0,4,FR 1310,FR~1310~ ~~CRL~05/19/2023 20:00~NAP~05/19/2023 22:15~~
Brussels (Charleroi),Palermo,2023-05-19,16:35:00.000,19:05:00.000,137.99,02:30,0,5,FR 6269,FR~6269~ ~~CRL~05/19/2023 16:35~PMO~05/19/2023 19:05~~
Brussels (Charleroi),Faro,2023-05-19,07:05:00.000,09:00:00.000,64.49,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/19/2023 07:05~FAO~05/19/2023 09:00~~
Brussels (Charleroi),Faro,2023-05-19,17:30:00.000,19:25:00.000,75.99,02:55,0,-1,FR 6312,FR~6312~ ~~CRL~05/19/2023 17:30~FAO~05/19/2023 19:25~~
Brussels (Charleroi),Alicante,2023-05-19,09:45:00.000,12:10:00.000,134.12,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/19/2023 09:45~ALC~05/19/2023 12:10~~
Brussels (Charleroi),Alicante,2023-05-19,17:20:00.000,19:45:00.000,128.87,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~05/19/2023 17:20~ALC~05/19/2023 19:45~~
Brussels (Charleroi),Ibiza,2023-05-19,16:15:00.000,18:40:00.000,127.33,02:25,0,5,FR 6456,FR~6456~ ~~CRL~05/19/2023 16:15~IBZ~05/19/2023 18:40~~
Brussels (Charleroi),Malaga,2023-05-19,10:00:00.000,12:45:00.000,117.84,02:45,0,-1,FR 1928,FR~1928~ ~~CRL~05/19/2023 10:00~AGP~05/19/2023 12:45~~
Brussels (Charleroi),Malaga,2023-05-19,20:55:00.000,23:40:00.000,88.59,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~05/19/2023 20:55~AGP~05/19/2023 23:40~~
Brussels (Charleroi),Tenerife (South),2023-05-19,06:30:00.000,10:05:00.000,147.64,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~05/19/2023 06:30~TFS~05/19/2023 10:05~~
Brussels (Charleroi),Heraklion Crete,2023-05-20,08:10:00.000,12:35:00.000,172.41,03:25,0,3,FR 7986,FR~7986~ ~~CRL~05/20/2023 08:10~HER~05/20/2023 12:35~~
Brussels (Charleroi),Naples,2023-05-20,07:45:00.000,10:00:00.000,72.79,02:15,0,3,FR 1302,FR~1302~ ~~CRL~05/20/2023 07:45~NAP~05/20/2023 10:00~~
Brussels (Charleroi),Palermo,2023-05-20,21:30:00.000,23:59:00.000,74.99,02:29,0,-1,FR 6269,FR~6269~ ~~CRL~05/20/2023 21:30~PMO~05/20/2023 23:59~~
Brussels (Charleroi),Faro,2023-05-20,11:05:00.000,13:00:00.000,84.62,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/20/2023 11:05~FAO~05/20/2023 13:00~~
Brussels (Charleroi),Alicante,2023-05-20,15:50:00.000,18:15:00.000,109.49,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/20/2023 15:50~ALC~05/20/2023 18:15~~
Brussels (Charleroi),Alicante,2023-05-20,18:15:00.000,20:40:00.000,94.99,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~05/20/2023 18:15~ALC~05/20/2023 20:40~~
Brussels (Charleroi),Malaga,2023-05-20,13:35:00.000,16:20:00.000,65.19,02:45,0,3,FR 1916,FR~1916~ ~~CRL~05/20/2023 13:35~AGP~05/20/2023 16:20~~
Brussels (Charleroi),Corfu,2023-05-21,17:00:00.000,20:40:00.000,135.29,02:40,0,4,FR 6251,FR~6251~ ~~CRL~05/21/2023 17:00~CFU~05/21/2023 20:40~~
Brussels (Charleroi),Brindisi,2023-05-21,17:30:00.000,19:55:00.000,51.05,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~05/21/2023 17:30~BDS~05/21/2023 19:55~~
Brussels (Charleroi),Naples,2023-05-21,09:45:00.000,12:00:00.000,53.88,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/21/2023 09:45~NAP~05/21/2023 12:00~~
Brussels (Charleroi),Faro,2023-05-21,16:45:00.000,18:40:00.000,57.12,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/21/2023 16:45~FAO~05/21/2023 18:40~~
Brussels (Charleroi),Alicante,2023-05-21,09:55:00.000,12:20:00.000,100.59,02:25,0,1,FR 3534,FR~3534~ ~~CRL~05/21/2023 09:55~ALC~05/21/2023 12:20~~
Brussels (Charleroi),Alicante,2023-05-21,15:00:00.000,17:25:00.000,101.39,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~05/21/2023 15:00~ALC~05/21/2023 17:25~~
Brussels (Charleroi),Ibiza,2023-05-21,07:30:00.000,09:55:00.000,63.31,02:25,0,1,FR 6456,FR~6456~ ~~CRL~05/21/2023 07:30~IBZ~05/21/2023 09:55~~
Brussels,Malaga,2023-05-21,09:55:00.000,12:50:00.000,83.29,02:55,0,1,FR 2923,FR~2923~ ~~BRU~05/21/2023 09:55~AGP~05/21/2023 12:50~~
Brussels (Charleroi),Malaga,2023-05-21,21:30:00.000,00:15:00.000,36.83,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~05/21/2023 21:30~AGP~05/22/2023 00:15~~
Brussels (Charleroi),Tenerife (South),2023-05-21,12:35:00.000,16:10:00.000,155.55,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~05/21/2023 12:35~TFS~05/21/2023 16:10~~
Brussels (Charleroi),Rhodes,2023-05-22,12:00:00.000,16:35:00.000,98.74,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~05/22/2023 12:00~RHO~05/22/2023 16:35~~
Brussels (Charleroi),Brindisi,2023-05-22,20:55:00.000,23:20:00.000,14.99,02:25,0,4,FR 7737,FR~7737~ ~~CRL~05/22/2023 20:55~BDS~05/22/2023 23:20~~
Brussels (Charleroi),Naples,2023-05-22,06:30:00.000,08:45:00.000,39.67,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/22/2023 06:30~NAP~05/22/2023 08:45~~
Brussels (Charleroi),Naples,2023-05-22,09:30:00.000,11:45:00.000,62.7,02:15,0,2,FR 1310,FR~1310~ ~~CRL~05/22/2023 09:30~NAP~05/22/2023 11:45~~
Brussels (Charleroi),Palermo,2023-05-22,12:05:00.000,14:35:00.000,93.99,02:30,0,-1,FR 6269,FR~6269~ ~~CRL~05/22/2023 12:05~PMO~05/22/2023 14:35~~
Brussels (Charleroi),Faro,2023-05-22,18:00:00.000,19:55:00.000,32.03,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/22/2023 18:00~FAO~05/22/2023 19:55~~
Brussels (Charleroi),Alicante,2023-05-22,16:55:00.000,19:20:00.000,100.59,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/22/2023 16:55~ALC~05/22/2023 19:20~~
Brussels,Malaga,2023-05-22,17:40:00.000,20:30:00.000,77.57,02:50,0,-1,FR 2923,FR~2923~ ~~BRU~05/22/2023 17:40~AGP~05/22/2023 20:30~~
Brussels (Charleroi),Malaga,2023-05-22,19:20:00.000,22:05:00.000,58.14,02:45,0,5,FR 1916,FR~1916~ ~~CRL~05/22/2023 19:20~AGP~05/22/2023 22:05~~
Brussels (Charleroi),Heraklion Crete,2023-05-23,07:20:00.000,11:45:00.000,136.51,03:25,0,-1,FR 7986,FR~7986~ ~~CRL~05/23/2023 07:20~HER~05/23/2023 11:45~~
Brussels (Charleroi),Brindisi,2023-05-23,17:20:00.000,19:45:00.000,30.09,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~05/23/2023 17:20~BDS~05/23/2023 19:45~~
Brussels (Charleroi),Naples,2023-05-23,19:20:00.000,21:35:00.000,30.06,02:15,0,1,FR 1302,FR~1302~ ~~CRL~05/23/2023 19:20~NAP~05/23/2023 21:35~~
Brussels (Charleroi),Palermo,2023-05-23,15:35:00.000,18:05:00.000,73.99,02:30,0,-1,FR 6269,FR~6269~ ~~CRL~05/23/2023 15:35~PMO~05/23/2023 18:05~~
Brussels (Charleroi),Faro,2023-05-23,13:45:00.000,15:40:00.000,32.03,02:55,0,3,FR 2941,FR~2941~ ~~CRL~05/23/2023 13:45~FAO~05/23/2023 15:40~~
Brussels (Charleroi),Faro,2023-05-23,16:45:00.000,18:40:00.000,16.99,02:55,0,-1,FR 6312,FR~6312~ ~~CRL~05/23/2023 16:45~FAO~05/23/2023 18:40~~
Brussels (Charleroi),Alicante,2023-05-23,06:30:00.000,08:55:00.000,65.89,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/23/2023 06:30~ALC~05/23/2023 08:55~~
Brussels (Charleroi),Alicante,2023-05-23,12:15:00.000,14:40:00.000,71.49,02:25,0,2,FR 9053,FR~9053~ ~~CRL~05/23/2023 12:15~ALC~05/23/2023 14:40~~
Brussels (Charleroi),Ibiza,2023-05-23,09:25:00.000,11:50:00.000,79.71,02:25,0,-1,FR 6456,FR~6456~ ~~CRL~05/23/2023 09:25~IBZ~05/23/2023 11:50~~
Brussels (Charleroi),Malaga,2023-05-23,16:00:00.000,18:45:00.000,44.46,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~05/23/2023 16:00~AGP~05/23/2023 18:45~~
Brussels (Charleroi),Tenerife (South),2023-05-23,07:15:00.000,10:50:00.000,81.53,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~05/23/2023 07:15~TFS~05/23/2023 10:50~~
Brussels (Charleroi),Rhodes,2023-05-24,13:10:00.000,17:45:00.000,75.27,03:35,0,3,FR 8577,FR~8577~ ~~CRL~05/24/2023 13:10~RHO~05/24/2023 17:45~~
Brussels (Charleroi),Naples,2023-05-24,16:35:00.000,18:50:00.000,34.41,02:15,0,4,FR 1302,FR~1302~ ~~CRL~05/24/2023 16:35~NAP~05/24/2023 18:50~~
Brussels (Charleroi),Palermo,2023-05-24,09:25:00.000,11:55:00.000,97.99,02:30,0,4,FR 6269,FR~6269~ ~~CRL~05/24/2023 09:25~PMO~05/24/2023 11:55~~
Brussels (Charleroi),Faro,2023-05-24,12:25:00.000,14:20:00.000,50.22,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/24/2023 12:25~FAO~05/24/2023 14:20~~
Brussels (Charleroi),Faro,2023-05-24,16:20:00.000,18:15:00.000,30.43,02:55,0,-1,FR 6312,FR~6312~ ~~CRL~05/24/2023 16:20~FAO~05/24/2023 18:15~~
Brussels (Charleroi),Alicante,2023-05-24,10:00:00.000,12:25:00.000,84.62,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/24/2023 10:00~ALC~05/24/2023 12:25~~
Brussels (Charleroi),Alicante,2023-05-24,14:45:00.000,17:10:00.000,64.49,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~05/24/2023 14:45~ALC~05/24/2023 17:10~~
Brussels (Charleroi),Alicante,2023-05-24,21:55:00.000,00:20:00.000,75.99,02:25,0,-1,FR 6063,FR~6063~ ~~CRL~05/24/2023 21:55~ALC~05/25/2023 00:20~~
Brussels,Malaga,2023-05-24,10:05:00.000,13:00:00.000,105.96,02:55,0,-1,FR 2923,FR~2923~ ~~BRU~05/24/2023 10:05~AGP~05/24/2023 13:00~~
Brussels (Charleroi),Malaga,2023-05-24,06:45:00.000,09:30:00.000,66.49,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~05/24/2023 06:45~AGP~05/24/2023 09:30~~
Brussels (Charleroi),Naples,2023-05-25,06:25:00.000,08:40:00.000,54.17,02:15,0,4,FR 1302,FR~1302~ ~~CRL~05/25/2023 06:25~NAP~05/25/2023 08:40~~
Brussels (Charleroi),Faro,2023-05-25,11:25:00.000,13:20:00.000,87.99,02:55,0,4,FR 2941,FR~2941~ ~~CRL~05/25/2023 11:25~FAO~05/25/2023 13:20~~
Brussels (Charleroi),Alicante,2023-05-25,09:00:00.000,11:25:00.000,75.99,02:25,0,1,FR 9053,FR~9053~ ~~CRL~05/25/2023 09:00~ALC~05/25/2023 11:25~~
Brussels (Charleroi),Alicante,2023-05-25,15:05:00.000,17:30:00.000,88.74,02:25,0,5,FR 3534,FR~3534~ ~~CRL~05/25/2023 15:05~ALC~05/25/2023 17:30~~
Brussels (Charleroi),Ibiza,2023-05-25,10:20:00.000,12:45:00.000,222.44,02:25,0,-1,FR 6456,FR~6456~ ~~CRL~05/25/2023 10:20~IBZ~05/25/2023 12:45~~
Brussels (Charleroi),Malaga,2023-05-25,17:30:00.000,20:15:00.000,87.99,02:45,0,2,FR 1916,FR~1916~ ~~CRL~05/25/2023 17:30~AGP~05/25/2023 20:15~~
Brussels (Charleroi),Tenerife (South),2023-05-25,20:00:00.000,23:35:00.000,80.19,04:35,0,1,FR 563,FR~ 563~ ~~CRL~05/25/2023 20:00~TFS~05/25/2023 23:35~~
Brussels (Charleroi),Rhodes,2023-05-26,07:55:00.000,12:30:00.000,87.93,03:35,0,3,FR 8577,FR~8577~ ~~CRL~05/26/2023 07:55~RHO~05/26/2023 12:30~~
Brussels (Charleroi),Brindisi,2023-05-26,07:00:00.000,09:25:00.000,190.44,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~05/26/2023 07:00~BDS~05/26/2023 09:25~~
Brussels (Charleroi),Naples,2023-05-26,09:10:00.000,11:25:00.000,96.2,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/26/2023 09:10~NAP~05/26/2023 11:25~~
Brussels (Charleroi),Naples,2023-05-26,20:00:00.000,22:15:00.000,111.5,02:15,0,3,FR 1310,FR~1310~ ~~CRL~05/26/2023 20:00~NAP~05/26/2023 22:15~~
Brussels (Charleroi),Palermo,2023-05-26,16:35:00.000,19:05:00.000,167.99,02:30,0,-1,FR 6269,FR~6269~ ~~CRL~05/26/2023 16:35~PMO~05/26/2023 19:05~~
Brussels (Charleroi),Faro,2023-05-26,07:05:00.000,09:00:00.000,115.79,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/26/2023 07:05~FAO~05/26/2023 09:00~~
Brussels (Charleroi),Faro,2023-05-26,17:30:00.000,19:25:00.000,109.49,02:55,0,-1,FR 6312,FR~6312~ ~~CRL~05/26/2023 17:30~FAO~05/26/2023 19:25~~
Brussels (Charleroi),Alicante,2023-05-26,09:45:00.000,12:10:00.000,134.64,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~05/26/2023 09:45~ALC~05/26/2023 12:10~~
Brussels (Charleroi),Alicante,2023-05-26,17:20:00.000,19:45:00.000,133.59,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~05/26/2023 17:20~ALC~05/26/2023 19:45~~
Brussels (Charleroi),Ibiza,2023-05-26,16:15:00.000,18:40:00.000,149.01,02:25,0,3,FR 6456,FR~6456~ ~~CRL~05/26/2023 16:15~IBZ~05/26/2023 18:40~~
Brussels (Charleroi),Malaga,2023-05-26,10:00:00.000,12:45:00.000,116.79,02:45,0,2,FR 1928,FR~1928~ ~~CRL~05/26/2023 10:00~AGP~05/26/2023 12:45~~
Brussels (Charleroi),Malaga,2023-05-26,20:55:00.000,23:40:00.000,136.47,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~05/26/2023 20:55~AGP~05/26/2023 23:40~~
Brussels (Charleroi),Tenerife (South),2023-05-26,06:30:00.000,10:05:00.000,102.11,04:35,0,3,FR 563,FR~ 563~ ~~CRL~05/26/2023 06:30~TFS~05/26/2023 10:05~~
Brussels (Charleroi),Heraklion Crete,2023-05-27,08:10:00.000,12:35:00.000,122.11,03:25,0,1,FR 7986,FR~7986~ ~~CRL~05/27/2023 08:10~HER~05/27/2023 12:35~~
Brussels (Charleroi),Naples,2023-05-27,07:45:00.000,10:00:00.000,111.5,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/27/2023 07:45~NAP~05/27/2023 10:00~~
Brussels (Charleroi),Palermo,2023-05-27,21:30:00.000,23:59:00.000,86.99,02:29,0,-1,FR 6269,FR~6269~ ~~CRL~05/27/2023 21:30~PMO~05/27/2023 23:59~~
Brussels (Charleroi),Faro,2023-05-27,11:05:00.000,13:00:00.000,176.4,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~05/27/2023 11:05~FAO~05/27/2023 13:00~~
Brussels (Charleroi),Alicante,2023-05-27,15:50:00.000,18:15:00.000,116.69,02:25,0,4,FR 3534,FR~3534~ ~~CRL~05/27/2023 15:50~ALC~05/27/2023 18:15~~
Brussels (Charleroi),Alicante,2023-05-27,18:15:00.000,20:40:00.000,94.99,02:25,0,2,FR 9053,FR~9053~ ~~CRL~05/27/2023 18:15~ALC~05/27/2023 20:40~~
Brussels (Charleroi),Malaga,2023-05-27,13:35:00.000,16:20:00.000,111.74,02:45,0,4,FR 1916,FR~1916~ ~~CRL~05/27/2023 13:35~AGP~05/27/2023 16:20~~
Brussels (Charleroi),Corfu,2023-05-28,17:00:00.000,20:40:00.000,114.89,02:40,0,-1,FR 6251,FR~6251~ ~~CRL~05/28/2023 17:00~CFU~05/28/2023 20:40~~
Brussels (Charleroi),Brindisi,2023-05-28,17:30:00.000,19:55:00.000,49.68,02:25,0,4,FR 7737,FR~7737~ ~~CRL~05/28/2023 17:30~BDS~05/28/2023 19:55~~
Brussels (Charleroi),Naples,2023-05-28,09:45:00.000,12:00:00.000,73.9,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~05/28/2023 09:45~NAP~05/28/2023 12:00~~
Brussels (Charleroi),Faro,2023-05-28,16:45:00.000,18:40:00.000,77.09,02:55,0,3,FR 2941,FR~2941~ ~~CRL~05/28/2023 16:45~FAO~05/28/2023 18:40~~
Brussels (Charleroi),Alicante,2023-05-28,09:55:00.000,12:20:00.000,88.74,02:25,0,5,FR 3534,FR~3534~ ~~CRL~05/28/2023 09:55~ALC~05/28/2023 12:20~~
Brussels (Charleroi),Alicante,2023-05-28,15:00:00.000,17:25:00.000,76.39,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~05/28/2023 15:00~ALC~05/28/2023 17:25~~
Brussels (Charleroi),Ibiza,2023-05-28,07:30:00.000,09:55:00.000,146.7,02:25,0,4,FR 6456,FR~6456~ ~~CRL~05/28/2023 07:30~IBZ~05/28/2023 09:55~~
Brussels,Malaga,2023-05-28,09:55:00.000,12:50:00.000,94.17,02:55,0,4,FR 2923,FR~2923~ ~~BRU~05/28/2023 09:55~AGP~05/28/2023 12:50~~
Brussels (Charleroi),Malaga,2023-05-28,21:30:00.000,00:15:00.000,32.35,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~05/28/2023 21:30~AGP~05/29/2023 00:15~~
Brussels (Charleroi),Tenerife (South),2023-05-28,12:35:00.000,16:10:00.000,122.11,04:35,0,4,FR 563,FR~ 563~ ~~CRL~05/28/2023 12:35~TFS~05/28/2023 16:10~~
Brussels (Charleroi),Rhodes,2023-05-29,12:00:00.000,16:35:00.000,77.71,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~05/29/2023 12:00~RHO~05/29/2023 16:35~~
