Luchthaven,Bestemming,Datum,Vertrektijdstip,Aankomsttijdstip,prijs,duur,aantalStops,vrijePlaatsen,VluchtNr,Flightkey
Brussels (Charleroi),Alicante,2023-04-04,12:15:00.000,14:40:00.000,131.49,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~04/04/2023 12:15~ALC~04/04/2023 14:40~~
Brussels (Charleroi),Ibiza,2023-04-04,09:25:00.000,11:50:00.000,91.14,02:25,0,5,FR 6456,FR~6456~ ~~CRL~04/04/2023 09:25~IBZ~04/04/2023 11:50~~
Brussels (Charleroi),Malaga,2023-04-04,16:00:00.000,18:45:00.000,128.24,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~04/04/2023 16:00~AGP~04/04/2023 18:45~~
Brussels (Charleroi),Tenerife (South),2023-04-04,07:15:00.000,10:50:00.000,167.76,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~04/04/2023 07:15~TFS~04/04/2023 10:50~~
Brussels (Charleroi),Rhodes,2023-04-05,13:10:00.000,17:45:00.000,138.39,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~04/05/2023 13:10~RHO~04/05/2023 17:45~~
Brussels (Charleroi),Naples,2023-04-05,16:35:00.000,18:50:00.000,110.61,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~04/05/2023 16:35~NAP~04/05/2023 18:50~~
Brussels (Charleroi),Palermo,2023-04-05,09:25:00.000,11:55:00.000,170.06,02:30,0,4,FR 6269,FR~6269~ ~~CRL~04/05/2023 09:25~PMO~04/05/2023 11:55~~
Brussels (Charleroi),Faro,2023-04-05,12:25:00.000,14:20:00.000,101.39,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~04/05/2023 12:25~FAO~04/05/2023 14:20~~
Brussels (Charleroi),Faro,2023-04-05,16:20:00.000,18:15:00.000,86.49,02:55,0,5,FR 6312,FR~6312~ ~~CRL~04/05/2023 16:20~FAO~04/05/2023 18:15~~
Brussels (Charleroi),Alicante,2023-04-05,10:00:00.000,12:25:00.000,108.39,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~04/05/2023 10:00~ALC~04/05/2023 12:25~~
Brussels (Charleroi),Alicante,2023-04-05,14:45:00.000,17:10:00.000,154.09,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~04/05/2023 14:45~ALC~04/05/2023 17:10~~
Brussels (Charleroi),Alicante,2023-04-05,21:55:00.000,00:20:00.000,96.99,02:25,0,4,FR 6063,FR~6063~ ~~CRL~04/05/2023 21:55~ALC~04/06/2023 00:20~~
Brussels,Malaga,2023-04-05,10:05:00.000,13:00:00.000,179.72,02:55,0,3,FR 2923,FR~2923~ ~~BRU~04/05/2023 10:05~AGP~04/05/2023 13:00~~
Brussels (Charleroi),Malaga,2023-04-05,06:45:00.000,09:30:00.000,139.99,02:45,0,4,FR 1916,FR~1916~ ~~CRL~04/05/2023 06:45~AGP~04/05/2023 09:30~~
Brussels (Charleroi),Naples,2023-04-06,06:25:00.000,08:40:00.000,110.73,02:15,0,1,FR 1302,FR~1302~ ~~CRL~04/06/2023 06:25~NAP~04/06/2023 08:40~~
Brussels (Charleroi),Faro,2023-04-06,11:25:00.000,13:20:00.000,97.79,02:55,0,4,FR 2941,FR~2941~ ~~CRL~04/06/2023 11:25~FAO~04/06/2023 13:20~~
Brussels (Charleroi),Alicante,2023-04-06,09:00:00.000,11:25:00.000,112.74,02:25,0,-1,FR 9053,FR~9053~ ~~CRL~04/06/2023 09:00~ALC~04/06/2023 11:25~~
Brussels (Charleroi),Alicante,2023-04-06,15:05:00.000,17:30:00.000,105.99,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~04/06/2023 15:05~ALC~04/06/2023 17:30~~
Brussels (Charleroi),Ibiza,2023-04-06,10:20:00.000,12:45:00.000,67.18,02:25,0,5,FR 6456,FR~6456~ ~~CRL~04/06/2023 10:20~IBZ~04/06/2023 12:45~~
Brussels (Charleroi),Malaga,2023-04-06,17:30:00.000,20:15:00.000,156.27,02:45,0,5,FR 1916,FR~1916~ ~~CRL~04/06/2023 17:30~AGP~04/06/2023 20:15~~
Brussels (Charleroi),Tenerife (South),2023-04-06,20:00:00.000,23:35:00.000,124.99,04:35,0,2,FR 563,FR~ 563~ ~~CRL~04/06/2023 20:00~TFS~04/06/2023 23:35~~
Brussels (Charleroi),Rhodes,2023-04-07,07:55:00.000,12:30:00.000,102.99,03:35,0,-1,FR 8577,FR~8577~ ~~CRL~04/07/2023 07:55~RHO~04/07/2023 12:30~~
Brussels (Charleroi),Brindisi,2023-04-07,07:00:00.000,09:25:00.000,186.09,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~04/07/2023 07:00~BDS~04/07/2023 09:25~~
Brussels (Charleroi),Naples,2023-04-07,09:10:00.000,11:25:00.000,129.38,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~04/07/2023 09:10~NAP~04/07/2023 11:25~~
Brussels (Charleroi),Naples,2023-04-07,20:00:00.000,22:15:00.000,78.14,02:15,0,2,FR 1310,FR~1310~ ~~CRL~04/07/2023 20:00~NAP~04/07/2023 22:15~~
Brussels (Charleroi),Palermo,2023-04-07,16:35:00.000,19:05:00.000,172.8,02:30,0,5,FR 6269,FR~6269~ ~~CRL~04/07/2023 16:35~PMO~04/07/2023 19:05~~
Brussels (Charleroi),Faro,2023-04-07,07:05:00.000,09:00:00.000,120.99,02:55,0,4,FR 2941,FR~2941~ ~~CRL~04/07/2023 07:05~FAO~04/07/2023 09:00~~
Brussels (Charleroi),Faro,2023-04-07,17:30:00.000,19:25:00.000,120.99,02:55,0,-1,FR 6312,FR~6312~ ~~CRL~04/07/2023 17:30~FAO~04/07/2023 19:25~~
Brussels (Charleroi),Alicante,2023-04-07,09:45:00.000,12:10:00.000,132.54,02:25,0,4,FR 3534,FR~3534~ ~~CRL~04/07/2023 09:45~ALC~04/07/2023 12:10~~
Brussels (Charleroi),Alicante,2023-04-07,17:20:00.000,19:45:00.000,125.89,02:25,0,4,FR 9053,FR~9053~ ~~CRL~04/07/2023 17:20~ALC~04/07/2023 19:45~~
Brussels (Charleroi),Ibiza,2023-04-07,16:15:00.000,18:40:00.000,82.34,02:25,0,4,FR 6456,FR~6456~ ~~CRL~04/07/2023 16:15~IBZ~04/07/2023 18:40~~
Brussels (Charleroi),Malaga,2023-04-07,10:00:00.000,12:45:00.000,203.99,02:45,0,5,FR 1928,FR~1928~ ~~CRL~04/07/2023 10:00~AGP~04/07/2023 12:45~~
Brussels (Charleroi),Malaga,2023-04-07,20:55:00.000,23:40:00.000,155.27,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~04/07/2023 20:55~AGP~04/07/2023 23:40~~
Brussels (Charleroi),Tenerife (South),2023-04-07,06:30:00.000,10:05:00.000,124.99,04:35,0,1,FR 563,FR~ 563~ ~~CRL~04/07/2023 06:30~TFS~04/07/2023 10:05~~
Brussels (Charleroi),Heraklion Crete,2023-04-08,08:10:00.000,12:35:00.000,138.47,03:25,0,1,FR 7986,FR~7986~ ~~CRL~04/08/2023 08:10~HER~04/08/2023 12:35~~
Brussels (Charleroi),Naples,2023-04-08,07:45:00.000,10:00:00.000,86.99,02:15,0,2,FR 1302,FR~1302~ ~~CRL~04/08/2023 07:45~NAP~04/08/2023 10:00~~
Brussels (Charleroi),Palermo,2023-04-08,21:30:00.000,23:59:00.000,88.61,02:29,0,2,FR 6269,FR~6269~ ~~CRL~04/08/2023 21:30~PMO~04/08/2023 23:59~~
Brussels (Charleroi),Faro,2023-04-08,11:05:00.000,13:00:00.000,206.49,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~04/08/2023 11:05~FAO~04/08/2023 13:00~~
Brussels (Charleroi),Alicante,2023-04-08,15:50:00.000,18:15:00.000,121.99,02:25,0,5,FR 3534,FR~3534~ ~~CRL~04/08/2023 15:50~ALC~04/08/2023 18:15~~
Brussels (Charleroi),Malaga,2023-04-08,13:35:00.000,16:20:00.000,204.99,02:45,0,5,FR 1916,FR~1916~ ~~CRL~04/08/2023 13:35~AGP~04/08/2023 16:20~~
Brussels (Charleroi),Corfu,2023-04-09,17:00:00.000,20:40:00.000,67.12,02:40,0,2,FR 6251,FR~6251~ ~~CRL~04/09/2023 17:00~CFU~04/09/2023 20:40~~
Brussels (Charleroi),Brindisi,2023-04-09,17:30:00.000,19:55:00.000,80.16,02:25,0,5,FR 7737,FR~7737~ ~~CRL~04/09/2023 17:30~BDS~04/09/2023 19:55~~
Brussels (Charleroi),Naples,2023-04-09,09:45:00.000,12:00:00.000,111.5,02:15,0,3,FR 1302,FR~1302~ ~~CRL~04/09/2023 09:45~NAP~04/09/2023 12:00~~
Brussels (Charleroi),Faro,2023-04-09,16:45:00.000,18:40:00.000,139.99,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~04/09/2023 16:45~FAO~04/09/2023 18:40~~
Brussels (Charleroi),Alicante,2023-04-09,09:55:00.000,12:20:00.000,308.22,02:25,0,3,FR 3534,FR~3534~ ~~CRL~04/09/2023 09:55~ALC~04/09/2023 12:20~~
Brussels (Charleroi),Ibiza,2023-04-09,07:30:00.000,09:55:00.000,74.99,02:25,0,-1,FR 6456,FR~6456~ ~~CRL~04/09/2023 07:30~IBZ~04/09/2023 09:55~~
Brussels,Malaga,2023-04-09,09:55:00.000,12:50:00.000,154.69,02:55,0,-1,FR 2923,FR~2923~ ~~BRU~04/09/2023 09:55~AGP~04/09/2023 12:50~~
Brussels (Charleroi),Malaga,2023-04-09,21:30:00.000,00:15:00.000,170.99,02:45,0,-1,FR 1916,FR~1916~ ~~CRL~04/09/2023 21:30~AGP~04/10/2023 00:15~~
Brussels (Charleroi),Tenerife (South),2023-04-09,12:35:00.000,16:10:00.000,202.71,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~04/09/2023 12:35~TFS~04/09/2023 16:10~~
Brussels (Charleroi),Rhodes,2023-04-10,12:00:00.000,16:35:00.000,65.35,03:35,0,5,FR 8577,FR~8577~ ~~CRL~04/10/2023 12:00~RHO~04/10/2023 16:35~~
